Index,Offset,Hex,R,G,B,A,H,S,V
45,45,#8B6C36,139,108,54,255,38.1,0.612,0.545
46,46,#705328,112,83,40,255,35.8,0.643,0.439
47,47,#5A3F1C,90,63,28,255,33.9,0.689,0.353
48,48,#EFD8B3,239,216,179,255,37.0,0.251,0.937
49,49,#E5C287,229,194,135,255,37.7,0.410,0.898
50,50,#D5A658,213,166,88,255,37.4,0.587,0.835
51,51,#BD8E41,189,142,65,255,37.3,0.656,0.741
52,52,#A37836,163,120,54,255,36.3,0.669,0.639
53,53,#865F2A,134,95,42,255,34.6,0.687,0.525
54,54,#6C4A1F,108,74,31,255,33.5,0.713,0.424
55,55,#583917,88,57,23,255,31.4,0.739,0.345
56,56,#EBCEAC,235,206,172,255,32.4,0.268,0.922
57,57,#E1B27C,225,178,124,255,32.1,0.449,0.882
58,58,#CF9149,207,145,73,255,32.2,0.647,0.812
59,59,#B87A34,184,122,52,255,31.8,0.717,0.722
60,60,#9E662B,158,102,43,255,30.8,0.728,0.620
61,61,#835222,131,82,34,255,29.7,0.740,0.514
62,62,#693F19,105,63,25,255,28.5,0.762,0.412
63,63,#553112,85,49,18,255,27.8,0.788,0.333
64,64,#E8C5A9,232,197,169,255,26.7,0.272,0.910
65,65,#DBA477,219,164,119,255,27.0,0.457,0.859
66,66,#C87E43,200,126,67,255,26.6,0.665,0.784
67,67,#B1672D,177,103,45,255,26.4,0.746,0.694
68,68,#985726,152,87,38,255,25.8,0.750,0.596
69,69,#7D461D,125,70,29,255,25.6,0.768,0.490
70,70,#653616,101,54,22,255,24.3,0.782,0.396
71,71,#512910,81,41,16,255,23.1,0.802,0.318
72,72,#E5BCA9,229,188,169,255,19.0,0.262,0.898
73,73,#D79577,215,149,119,255,18.8,0.447,0.843
74,74,#C26B43,194,107,67,255,18.9,0.655,0.761
75,75,#AA552E,170,85,46,255,18.9,0.729,0.667
76,76,#934826,147,72,38,255,18.7,0.741,0.576
77,77,#7A3A1E,122,58,30,255,18.3,0.754,0.478
78,78,#622D17,98,45,23,255,17.6,0.765,0.384
79,79,#4F2311,79,35,17,255,17.4,0.785,0.310
80,80,#E3B4AC,227,180,172,255,8.7,0.242,0.890
81,81,#D3887C,211,136,124,255,8.3,0.412,0.827
82,82,#BB5948,187,89,72,255,8.9,0.615,0.733
83,83,#A54433,165,68,51,255,8.9,0.691,0.647
84,84,#8E392B,142,57,43,255,8.5,0.697,0.557
85,85,#752F22,117,47,34,255,9.4,0.709,0.459
86,86,#5E2419,94,36,25,255,9.6,0.734,0.369
87,87,#4C1C12,76,28,18,255,10.3,0.763,0.298
88,88,#DFAEB1,223,174,177,255,356.3,0.220,0.875
89,89,#CE7F84,206,127,132,255,356.2,0.383,0.808
90,90,#B64D52,182,77,82,255,357.1,0.577,0.714
91,91,#9F383D,159,56,61,255,357.1,0.648,0.624
92,92,#8A3033,138,48,51,255,358.0,0.652,0.541
93,93,#722728,114,39,40,255,359.2,0.658,0.447
94,94,#5C1E1E,92,30,30,255,0.0,0.674,0.361
95,95,#4A1716,74,23,22,255,1.2,0.703,0.290
96,96,#DAA8B7,218,168,183,255,342.0,0.229,0.855
97,97,#C5768D,197,118,141,255,342.5,0.401,0.773
98,98,#AB415F,171,65,95,255,343.0,0.620,0.671
99,99,#942C48,148,44,72,255,343.8,0.703,0.580
100,100,#80263C,128,38,60,255,345.3,0.703,0.502
101,101,#691F2F,105,31,47,255,347.0,0.705,0.412
102,102,#551823,85,24,35,255,349.2,0.718,0.333
103,103,#451319,69,19,25,255,352.8,0.725,0.271
104,104,#D4A4BD,212,164,189,255,328.8,0.226,0.831
105,105,#BC6F97,188,111,151,255,328.8,0.410,0.737
106,106,#9E386D,158,56,109,255,328.8,0.646,0.620
107,107,#882457,136,36,87,255,329.4,0.735,0.533
108,108,#751F48,117,31,72,255,331.4,0.735,0.459
109,109,#601938,96,25,56,255,333.8,0.740,0.376
110,110,#4E1429,78,20,41,255,338.3,0.744,0.306
111,111,#3F101E,63,16,30,255,342.1,0.746,0.247
112,112,#CDA3C4,205,163,196,255,312.9,0.205,0.804
113,113,#AC719F,172,113,159,255,313.2,0.343,0.675
114,114,#8B3B79,139,59,121,255,313.5,0.576,0.545
115,115,#7A2163,122,33,99,255,315.5,0.730,0.478
116,116,#691D52,105,29,82,255,318.2,0.724,0.412
117,117,#57173F,87,23,63,255,322.5,0.736,0.341
118,118,#46122D,70,18,45,255,328.8,0.743,0.275
119,119,#380E20,56,14,32,255,334.3,0.750,0.220
120,120,#C5A5CB,197,165,203,255,290.5,0.187,0.796
121,121,#A471AC,164,113,172,255,291.9,0.343,0.675
122,122,#7E3B88,126,59,136,255,292.2,0.566,0.533
123,123,#682670,104,38,112,255,293.5,0.661,0.439
124,124,#59205C,89,32,92,255,297.0,0.652,0.361
125,125,#4A1A46,74,26,70,255,305.0,0.649,0.290
126,126,#3B1433,59,20,51,255,312.3,0.661,0.231
127,127,#300F23,48,15,35,255,323.6,0.687,0.188
128,128,#BDABD1,189,171,209,255,268.4,0.182,0.820
129,129,#977AB5,151,122,181,255,269.5,0.326,0.710
130,130,#6C4694,108,70,148,255,269.2,0.527,0.580
131,131,#58317B,88,49,123,255,271.6,0.602,0.482
132,132,#4B2965,75,41,101,255,274.0,0.594,0.396
133,133,#3E224D,62,34,77,255,279.1,0.558,0.302
134,134,#311A38,49,26,56,255,286.0,0.536,0.220
135,135,#271326,39,19,38,255,303.0,0.513,0.153
136,136,#B6B3D3,182,179,211,255,245.6,0.152,0.827
137,137,#8C87B9,140,135,185,255,246.0,0.270,0.725
138,138,#605799,96,87,153,255,248.2,0.431,0.600
139,139,#4A427F,74,66,127,255,247.9,0.480,0.498
140,140,#403769,64,55,105,255,250.8,0.476,0.412
141,141,#342B51,52,43,81,255,254.2,0.469,0.318
142,142,#2A223A,42,34,58,255,260.0,0.414,0.227
143,143,#201928,32,25,40,255,268.0,0.375,0.157
144,144,#B0BBD2,176,187,210,255,220.6,0.162,0.824
145,145,#8293B8,130,147,184,255,221.1,0.293,0.722
146,146,#516997,81,105,151,255,219.4,0.464,0.592
147,147,#3D527E,61,82,126,255,220.6,0.516,0.494
148,148,#344568,52,69,104,255,220.4,0.500,0.408
149,149,#2A3750,42,55,80,255,219.5,0.475,0.314
150,150,#222A39,34,42,57,255,219.1,0.404,0.224
151,151,#1C2028,28,32,40,255,220.0,0.300,0.157
152,152,#ABC4CE,171,196,206,255,197.1,0.170,0.808
153,153,#7AA2B1,122,162,177,255,196.4,0.311,0.694
154,154,#477C8F,71,124,143,255,195.8,0.503,0.561
155,155,#326475,50,100,117,255,195.2,0.573,0.459
156,156,#2B5561,43,85,97,255,193.3,0.557,0.380
157,157,#234349,35,67,73,255,189.5,0.521,0.286
158,158,#1C3335,28,51,53,255,184.8,0.472,0.208
159,159,#162725,22,39,37,255,172.9,0.436,0.153
160,160,#A7CDC8,167,205,200,255,172.1,0.185,0.804
161,161,#74AFA8,116,175,168,255,172.9,0.337,0.686
162,162,#3F8C83,63,140,131,255,173.0,0.550,0.549
163,163,#2B756A,43,117,106,255,171.1,0.632,0.459
164,164,#266358,38,99,88,255,169.2,0.616,0.388
165,165,#1F4F43,31,79,67,255,165.0,0.608,0.310
166,166,#193D31,25,61,49,255,160.0,0.590,0.239
167,167,#142E22,20,46,34,255,152.3,0.565,0.180
168,168,#B3D7C5,179,215,197,255,150.0,0.167,0.843
169,169,#87C0A3,135,192,163,255,149.5,0.297,0.753
170,170,#58A27C,88,162,124,255,149.2,0.457,0.635
171,171,#448A67,68,138,103,255,150.0,0.507,0.541
172,172,#3A7456,58,116,86,255,149.0,0.500,0.455
173,173,#315C43,49,92,67,255,145.1,0.467,0.361
174,174,#264732,38,71,50,255,141.8,0.465,0.278
175,175,#1E3524,30,53,36,255,135.7,0.434,0.208
176,176,#D1DFC6,209,223,198,255,93.6,0.112,0.875
177,177,#B8CEA5,184,206,165,255,92.2,0.199,0.808
178,178,#98B67A,152,182,122,255,90.0,0.330,0.714
179,179,#7EA158,126,161,88,255,88.8,0.453,0.631
180,180,#698647,105,134,71,255,87.6,0.470,0.525
181,181,#52653D,82,101,61,255,88.5,0.396,0.396
182,182,#404D30,64,77,48,255,86.9,0.377,0.302
183,183,#313A24,49,58,36,255,84.5,0.379,0.227
184,184,#EBE8CE,235,232,206,255,53.8,0.123,0.922
185,185,#E1DFB6,225,223,182,255,57.2,0.191,0.882
186,186,#CED097,206,208,151,255,62.1,0.274,0.816
187,187,#B1B97D,177,185,125,255,68.0,0.324,0.725
188,188,#939D59,147,157,89,255,68.8,0.433,0.616
189,189,#6E763E,110,118,62,255,68.6,0.475,0.463
190,190,#525731,82,87,49,255,67.9,0.437,0.341
191,191,#3D4025,61,64,37,255,66.7,0.422,0.251
